Date,_GSPC,IEF,GLD,BIL
2016-01-05,,,,
2016-01-06,,,,
2016-01-07,,,,
2016-01-08,,,,
2016-01-11,,,,
2016-01-12,,,,
2016-01-13,,,,
2016-01-14,,,,
2016-01-15,,,,
2016-01-19,,,,
2016-01-20,,,,
2016-01-21,,,,
2016-01-22,,,,
2016-01-25,,,,
2016-01-26,,,,
2016-01-27,,,,
2016-01-28,,,,
2016-01-29,,,,
2016-02-01,,,,
2016-02-02,,,,
2016-02-03,,,,
2016-02-04,,,,
2016-02-05,,,,
2016-02-08,,,,
2016-02-09,,,,
2016-02-10,,,,
2016-02-11,,,,
2016-02-12,,,,
2016-02-16,,,,
2016-02-17,,,,
2016-02-18,,,,
2016-02-19,,,,
2016-02-22,,,,
2016-02-23,,,,
2016-02-24,,,,
2016-02-25,,,,
2016-02-26,,,,
2016-02-29,,,,
2016-03-01,,,,
2016-03-02,,,,
2016-03-03,,,,
2016-03-04,,,,
2016-03-07,,,,
2016-03-08,,,,
2016-03-09,,,,
2016-03-10,,,,
2016-03-11,,,,
2016-03-14,,,,
2016-03-15,,,,
2016-03-16,,,,
2016-03-17,,,,
2016-03-18,,,,
2016-03-21,,,,
2016-03-22,,,,
2016-03-23,,,,
2016-03-24,,,,
2016-03-28,,,,
2016-03-29,,,,
2016-03-30,,,,
2016-03-31,,,,
2016-04-01,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-04,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-05,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-06,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-07,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-08,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-11,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-12,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-13,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-14,0.016850489110063666,0.05345081274449448,0.015882980216345894,0.9138157179290959
2016-04-15,0.018102371925931723,0.0549719786713115,0.015948968219616198,0.9109766811831405
2016-04-18,0.018102371925931723,0.0549719786713115,0.015948968219616198,0.9109766811831405
2016-04-19,0.018102371925931723,0.0549719786713115,0.015948968219616198,0.9109766811831405
